city,state_abbrev,city_pop
Middletown,CT,48616
Wilson,NC,48579
Hattiesburg,MS,48522
Euclid,OH,48421
Shakopee,MN,48401
Azusa,CA,48383
Prescott,AZ,48224
Biloxi,MS,48144
Beavercreek,OH,48012
East Providence,RI,47961
Brea,CA,47844
Spanish Fork,UT,47809
Urbandale,IA,47759
Gainesville,GA,47712
Glenview village,IL,47634
Mansfield,OH,47593
Niagara Falls,NY,47512
Minot,ND,47440
Olive Branch,MS,47365
Altamonte Springs,FL,47261
Roswell,NM,47176
Sayreville borough,NJ,47165
Oakley,CA,47158
Mentor,OH,47113
Attleboro,MA,47085
Roseville,MI,47047
Cerritos,CA,46851
Binghamton,NY,46773
Riverton,UT,46680
Keller,TX,46643
Hackensack,NJ,46630
Monroe,LA,46622
Delaware,OH,46521
Charleston,WV,46482
Mankato,MN,46459
La Mirada,CA,46367
Rancho Santa Margarita,CA,46353
West Lafayette,IN,46338
North Lauderdale,FL,46335
Fuquay-Varina,NC,46317
Greer,SC,46316
Farmington,NM,46262
Newark,CA,46254
Salina,KS,46109
Elmhurst,IL,46108
Morgan Hill,CA,45952
The Colony,TX,45897
Cutler Bay,FL,45833
Post Falls,ID,45800
Haltom City,TX,45786
Oakland Park,FL,45771
Strongsville,OH,45768
Moorhead,MN,45726
Salem,MA,45677
North Miami Beach,FL,45655
DeLand,FL,45587
Newnan,GA,45548
Brentwood,TN,45525
Palm Springs,CA,45453
Blacksburg,VA,45452
Linden,NJ,45393
Bremerton,WA,45291
York,PA,45241
Greenacres,FL,45197
Coachella,CA,45165
Fairfield,OH,45094
Hickory,NC,45081
Hollister,CA,45033
Bountiful,UT,45024
Huntington,WV,44942
Rohnert Park,CA,44894
Littleton,CO,44879
Charlottesville,VA,44767
Sierra Vista,AZ,44710
Concord,NH,44674
Wilkes-Barre,PA,44661
Ormond Beach,FL,44596
Woonsocket,RI,44508
Prosper,TX,44503
Lombard village,IL,44490
Fond du Lac,WI,44469
Burlington,VT,44432
Schertz,TX,44428
Lake Worth Beach,FL,44417
Apache Junction,AZ,44309
El Centro,CA,44230
Leominster,MA,44209
Midlothian,TX,44104
Mount Juliet,TN,44066
Cleveland Heights,OH,44064
Freeport village,NY,44028
Grove City,OH,44019
Hagerstown,MD,43909
Woburn,MA,43895
Indian Trail,NC,43867
Weslaco,TX,43864
Kiryas Joel village,NY,43863
Manassas,VA,43616
Lompoc,CA,43594
Huber Heights,OH,43590
Brighton,CO,43473
Danville,CA,43410
Bullhead City,AZ,43266
Beverly,MA,43223
Alexandria,LA,43133
Pittsfield,MA,43121
Buffalo Grove village,IL,43072
Plant City,FL,43046
Hallandale Beach,FL,43043
Saginaw,MI,43001
Sumter,SC,42958
Reynoldsburg,OH,42897
Campbell,CA,42895
Edmonds,WA,42871
Owasso,OK,42821
Shelton,CT,42805
Midland,MI,42780
Cottage Grove,MN,42760
Altoona,PA,42719
Florence,AL,42716
Hutto,TX,42661
Peachtree Corners,GA,42638
Rosenberg,TX,42571
Jefferson City,MO,42564
Puyallup,WA,42552
Marion,IA,42542
Moline,IL,42442
Marlborough,MA,42169
Fitchburg,MA,42145
Haines City,FL,42073
San Bruno,CA,42035
Danville,VA,41993
Royal Palm Beach village,FL,41948
Oviedo,FL,41901
Coppell,TX,41785
Windsor,CO,41734
Lancaster,OH,41671
Covington,KY,41611
Lynnwood,WA,41597
Crystal Lake,IL,41513
Milton,GA,41490
La Vergne,TN,41430
Cedar Falls,IA,41417
Lake Stevens,WA,41350
American Fork,UT,41298
Friendswood,TX,41291
Brookfield,WI,41268
State College borough,PA,41228
Stanton,CA,41188
